operator,energy,repressors,fold_change,delta_repressors,delta_fold_change,Ns,Nc
O1,-15.3,3.57,1.046,6.464,1.143,64,0
O1,-15.3,4.751,0.9676,7.651,1.063,64,0
O1,-15.3,5.478,1.023,8.382,1.157,64,0
O1,-15.3,6.545,1.168,9.457,1.415,64,0
O1,-15.3,7.211,0.8455,10.13,0.9419,64,0
O1,-15.3,8.019,1.036,10.94,1.171,64,0
O1,-15.3,9.012,0.9151,11.95,1.045,64,0
O1,-15.3,10.46,0.9279,13.41,1.01,64,0
O1,-15.3,12.14,0.9721,15.11,1.091,64,0
O1,-15.3,14.15,1.23,17.15,1.503,64,0
O1,-15.3,24.26,0.7943,27.47,0.9286,64,0
O1,-15.3,37.11,0.3499,40.71,0.4111,64,0
O1,-15.3,47.48,0.1952,51.47,0.2196,64,0
O1,-15.3,57.77,0.3151,62.19,0.3554,64,0
O1,-15.3,89.35,0.1175,95.28,0.1591,64,0
O1,-15.3,114,0.01867,121.2,0.02322,64,0
O1,-15.3,130.3,0.01138,138.4,0.01389,64,0
O1,-15.3,138.4,0.01418,146.9,0.0171,64,0
O1,-15.3,147.6,0.008884,156.7,0.01108,64,0
O1,-15.3,161.6,0.01029,171.4,0.01331,64,0
O1,-15.3,174.2,0.004945,184.7,0.006991,64,0
O1,-15.3,196.1,0.007024,207.8,0.009142,64,0
O1,-15.3,226.6,0.005509,240.1,0.008054,64,0
O1,-15.3,259,0.005295,274.3,0.008194,64,0
O1,-15.3,293.8,0.005946,311.1,0.008285,64,0
O1,-15.3,5.234,1.05,8.137,1.21,52,0
O1,-15.3,11.65,0.7199,14.61,0.8486,52,0
O1,-15.3,17.19,0.6175,20.24,0.07257,52,0
O1,-15.3,32.38,0.2127,35.83,0.2445,52,0
O1,-15.3,45.28,0.06673,49.18,0.07552,52,0
O1,-15.3,54.13,0.05659,58.39,0.06468,52,0
O1,-15.3,63.6,0.09209,68.28,0.1145,52,0
O1,-15.3,73.3,0.03169,78.44,0.03721,52,0
O1,-15.3,82.46,0.02863,88.04,0.03363,52,0
O1,-15.3,93.74,0.01881,99.9,0.0217,52,0
O1,-15.3,103,0.01482,109.6,0.0176,52,0
O1,-15.3,114.9,0.01158,122.2,0.01361,52,0
O1,-15.3,127,0.01087,134.9,0.01301,52,0
O1,-15.3,140.8,0.01052,149.5,0.01261,52,0
O1,-15.3,156.1,0.01439,165.6,0.01712,52,0
O1,-15.3,172.9,0.009423,183.3,0.01088,52,0
O1,-15.3,196.7,0.009313,208.4,0.01102,52,0
O1,-15.3,225,0.005434,238.4,0.007348,52,0
O1,-15.3,255.8,0.005506,270.9,0.006512,52,0
O1,-15.3,288.9,0.008344,305.9,0.009579,52,0
Oid,-17,9.709,0.1426,16.31,0.1668,10,0
Oid,-17,18.97,0.03963,25.67,0.04774,10,0
Oid,-17,35.52,0.01224,42.56,0.01446,10,0
Oid,-17,69.07,0.005268,77.3,0.006866,10,0
Oid,-17,107.2,0.002962,117.3,0.004262,10,0
Oid,-17,209.7,0.001097,226.1,0.002116,10,0